ID,Ploidy,Height,n.flowers,n.fruits,Fitness,Init.Day,Peak.Day,End.Day,Tot.Days,Max.n.open.flowers,X_Sp_Ap,X_Sp_Met,X_Sp_Fauc,Y_Sp,X_Lab_Max,X_LobLat,Y_Lab,X_LobMed,Y_LobMed,X_SepSx,Y_SepSx,X_SepDx,Y_SepDx,X_SepCen,Y_SepCen,X_PetSx,Y_PetSx,X_PetDx,Y_PetDx
48,4n,29,38,12,0.316,138,138,154,16,32,0.08,0.08,0.11,1.35,0.84,0.76,0.66,0.15,0.34,0.27,0.55,0.28,0.43,0.21,0.51,0.2,0.51,0.2,0.59
49,4n,25,52,16,0.308,150,150,156,6,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,4n,35,77,24,0.312,150,150,156,6,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C1,4n,40,51,33,0.647,135,138,156,21,40,0.09,0.11,0.14,1.85,1.09,0.75,0.81,0.27,0.35,0.28,0.54,0.28,0.54,0.23,0.46,0.27,0.69,0.31,0.68
C2,4n,30,53,6,0.113,135,147,156,21,37,0.09,0.1,0.12,1.41,0.76,0.61,0.6,0.22,0.26,0.24,0.5,0.18,0.49,0.13,0.46,0.24,0.59,0.24,0.6
C3,4n,36,73,39,0.534,135,138,154,19,51,0.12,0.12,0.15,1.52,0.95,0.76,0.73,0.22,0.36,0.24,0.64,0.29,0.58,0.23,0.64,0.26,0.79,0.26,0.75
C4,4n,30,NA,NA,NA,135,141,141,6,22,0.1,0.13,0.15,1.33,1.01,0.79,0.85,0.2,0.46,0.28,0.62,0.31,0.62,0.2,0.67,0.26,0.82,0.29,0.83
C5,4n,36,68,52,0.765,135,138,156,21,50,0.09,0.1,0.15,1.44,0.98,0.77,0.66,0.26,0.31,0.35,0.55,0.35,0.55,0.24,0.54,0.22,0.65,0.25,0.6
C6,4n,36,64,35,0.547,135,147,159,24,46,0.09,0.13,0.14,1.56,0.94,0.68,0.63,0.2,0.33,0.14,0.5,0.17,0.52,0.13,0.51,0.17,0.6,0.21,0.6
C7,4n,30,47,32,0.681,135,138,156,21,28,0.07,0.1,0.13,1.7,1.15,0.94,0.84,0.24,0.48,0.27,0.61,0.27,0.74,0.22,0.72,0.26,0.79,0.26,0.73
C8,4n,37,59,40,0.678,135,135,154,19,32,0.1,0.1,0.13,1.47,0.8,0.69,0.63,0.2,0.32,0.16,0.44,0.22,0.5,0.12,0.49,0.19,0.46,0.16,0.4
M1,4n,19,NA,NA,NA,135,147,156,21,13,0.08,0.08,0.13,1.14,0.69,0.48,0.52,0.18,0.25,0.25,0.51,0.25,0.46,0.2,0.52,0.29,0.6,0.27,0.52
